OBJECTID,Aadress,Toidukoht_arv,Teenustase,Teenus_arv,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Parkimisnorm,Parkimis_koefitsent,GlobalID
2,Tamme pst 113b,0,-,2,24.35361272,0,0,1,100,1,{B7A9D914-13F9-4D7E-A220-C66DD481E5B6}
3,Sepa tn 17d,4,-,13,20.83569608,0,2,2,100,1,{25385DB7-1FFC-4A2C-B23D-04D539DB21AA}
4,Teguri tn 19,4,Baastase,5,58.16056785,1,2,4,71,0.70919716,{49F78ACD-8E63-43A6-BEFA-44B64F18E743}
5,Teguri tn 19a,6,Baastase,9,59.28507624,1,2,4,70,0.70357462,{06C07129-71E1-4DAA-959A-1D5A73B294A1}
6,Sepa tn 17e,4,-,13,25.1818964,0,2,2,100,1,{6BE1B05C-3685-467D-B5B8-421F3C2A3DC4}
7,Salme tn 52,4,Baastase,5,31.07856439,2,1,4,84,0.84460718,{037BF9D6-8333-4F95-A907-DFFAC26EE9D2}
8,Saekoja tn 12,4,-,7,19.56006954,1,0,3,100,1,{2DAF8A21-8547-4B8F-BD22-5A3C6C928B55}
9,Riia tn 142,17,-,49,37.25809417,0,1,3,100,1,{29A6F21E-E01B-4899-95AE-1402760AA32A}
10,Jaama tn 68b,7,Baastase,16,53.53757378,2,1,5,73,0.73231213,{EBDC8A02-4C03-48BC-965F-A52ABA172FC0}
11,Tulbi tn 2c,4,Baastase,23,24.44798203,1,3,3,88,0.87776009,{8BC15E13-70DB-4C0E-AE68-2AC7284E2949}
12,Pootsmani tn 2,0,-,2,6.80088143,0,0,0,100,1,{C6922F97-5C8B-4C2D-802A-82E30A1B5286}
13,Tamme pst 11,5,Baastase,10,45.04821356,1,1,3,77,0.77475893,{422600F3-BD58-45A0-ADCE-5963F6146017}
14,Väike kaar 34,5,-,12,46.40519481,1,0,3,100,1,{5EA71384-7FA8-4FFF-8D22-A01409B3276C}
15,Vaksali tn 27,9,Baastase,28,50.04301185,2,3,2,75,0.74978494,{17D7F967-577E-4EC2-AEB1-0CD9E51DE6DC}
16,Tähe tn 100,3,Baastase,2,64.67225093,1,3,4,68,0.67663875,{2C106EDF-3698-4262-B50F-5AB9DF376713}
17,Nisu tn 43,2,-,3,17.50739078,1,0,2,100,1,{E381FC1F-9016-4613-879C-88C919F237E0}
18,Vaksali tn 36/2,6,-,20,40.95800717,1,0,3,100,1,{3F03690A-29ED-4D4D-865C-7AB65155197D}
19,Võru tn 40 // 42,53,Hea tase,42,69.23331249,3,7,9,31,0.30766688,{F503CE38-FE99-44BF-AE1A-C1E43494AB28}
20,Ujula tn 84a,6,-,6,47.74710277,0,1,2,100,1,{AA38A96E-33D0-4E35-9873-29F82E034741}
21,Kabeli tn 15,10,Baastase,15,59.75017666,2,1,4,70,0.70124912,{0862CF5F-556C-4330-B0DC-DC8370814228}
22,Kabeli tn 13,4,-,12,57.21819885,2,0,4,100,1,{B8004981-0296-4481-9D99-3AC481D40007}
23,Jaama tn 78,9,Baastase,17,55.41483207,4,3,5,72,0.72292584,{4FDCDAE5-4EC1-44E2-A536-F227F257E98E}
24,Maarjaturg 1,3,-,6,47.85603946,0,1,4,100,1,{BC4C2D08-2218-4A53-A473-A7D462547A3E}
25,Uus tn 9,12,Baastase,19,58.67789503,2,3,12,71,0.70661052,{A1B18CC7-BBA5-4659-9506-0B9242A4AFFD}
26,Pallase pst 39,0,-,2,1.30585777,0,0,2,100,1,{780416DE-FFDE-4994-8F7B-EF794B9699D2}
27,Ringtee tn 81,13,-,19,36.21832426,0,1,3,100,1,{7156EA61-1FD9-4996-96AA-90BB0C041773}
28,Uppsala tn 4 // 6 // 8,135,Hea tase,95,63.27445028,3,5,9,37,0.3672555,{B15EB41B-9E03-48EF-A5BE-967F2083188B}
29,Sõbra tn 31,7,-,12,50.91554443,2,0,5,100,1,{E70590C4-1CD1-4CD3-91BD-B0EE1006CCE7}
30,Kapsa tn 5,2,-,6,27.37367496,1,0,1,100,1,{EB679B34-F46D-4F2D-8DB1-968EB4B459FE}
