Index,Address,Room Count,Size,Price,Accessibility
1,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 12-9",3,64.3 m²,175 900 €,-
2,"Tartu, Ülejõe, Staadioni 3",4,75 m²,235 000 €,Hea tase
3,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 12-1",2,50.8 m²,160 900 €,-
4,"Tartu, Ülejõe, Pikk 76",2,38.3 m²,89 000 €,Hea tase
5,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 10-2",4,83 m²,209 900 €,-
6,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 10-7",3,70 m²,194 900 €,-
7,"Tartu, Annelinn, Sõpruse pst 1",1,27.3 m²,59 900 €,Baastase
8,"Tartu, Vaksali, Kooli 18",2,40.9 m²,119 000 €,Baastase
9,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25b",2,47.6 m²,95 000 €,Baastase
10,"Tartu, Karlova, Salme 12",2,46.9 m²,106 000 €,Baastase
11,"Tartu, Kesklinn, Riia 13",3,55.3 m²,209 900 €,Hea tase
12,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 10a",3,73 m²,169 999 €,-
13,"Tartu, Tartu linn, Annelinn, Mõisavahe 9-25",2,49.1 m²,97 000 €,Baastase
14,"Tartu, Tartu linn, Karlova, Lootuse tn 2a-3",3,57 m²,250 000 €,Baastase
15,"Tartu, Tartu linn, Karlova, Võru tn 108",2,31.1 m²,119 900 €,Hea tase
16,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 25",1,31.5 m²,69 500 €,Baastase
17,"Tartu, Tartu linn, Raadi-Kruusamäe, Kvissentali, Hauskari tn 8-1",3,65.9 m²,169 900 €,-
18,"Tartu, Tartu linn, Kesklinn, Küüni tn 2",2,62.7 m²,189 000 €,Hea tase
19,"Tartu, Tartu linn, Raadi-Kruusamäe, Muru 12",3,59.9 m²,107 900 €,-
20,"Tartu, Tartu linn, Annelinn, Anne tn 81-10",3,65.8 m²,129 900 €,Baastase
21,"Tartu, Tartu linn, Karlova, Karlova, Raua tn 10-1",1,31 m²,110 100 €,Baastase
22,"Tartu, Tartu linn, Ränilinn, Aardla tn 122",3,65.8 m²,130 000 €,-
23,"Tartu, Ülejõe, Uus 13b",2,39.5 m²,95 000 €,Baastase
24,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 20",1,34.5 m²,95 000 €,-
25,"Tartu, Tartu linn, Ülejõe, Uus tn 36",2,43.5 m²,97 000 €,Baastase
26,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 2",3,59 m²,119 000 €,Baastase
27,"Tartu, Annelinn, Ihaste põik 10",3,61.9 m²,215 000 €,-
28,"Tartu, Tartu linn, Karlova, Võru tn 36",2,49.1 m²,108 000 €,Hea tase
29,"Tartu, Tartu linn, Karlova, Siili tn 6-12",2,44.9 m²,187 000 €,-
30,"Tartu, Tartu linn, Annelinn, Annelinn, Aiandi tee 5",3,64.4 m²,109 000 €,-
31,"Tartu, Tartu linn, Kesklinn, Riia tn 20",2,37.4 m²,137 900 €,Hea tase
32,"Tartu, Tartu linn, Annelinn, Anne",2,49.6 m²,95 000 €,-
33,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 13-18",2,47.1 m²,84 700 €,Baastase
34,"Tartu, Tartu linn, Veeriku, Kannikese 33",3,61.1 m²,109 000 €,Baastase
35,"Tartu, Tartu linn, Annelinn, Jaama tn 181",3,68.4 m²,89 900 €,Baastase
36,"Tartu, Tartu linn, Annelinn, Ihaste põik 10",2,49.8 m²,174 900 €,-
37,"Tartu, Tartu linn, Variku, Timuti tn 15",1,33.2 m²,77 900 €,-
38,"Tartu, Tartu linn, Annelinn, Sõpruse pst 3 (Broneeritud)",3,60.8 m²,89 000 €,Hea tase
39,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 16",1,18 m²,48 000 €,Hea tase
40,"Tartu, Annelinn, Kaunase pst 35",1,33.7 m²,66 500 €,Baastase
41,"Tartu, Tartu linn, Karlova, Raua tn 16a",3,49.5 m²,89 000 €,Baastase
42,"Tartu, Tartu linn, Veeriku, Viljandi mnt 72-14",2,38.6 m²,75 000 €,-
43,"Tartu, Tartu linn, Vaksali, Kooli",1,19.5 m²,75 900 €,-
44,"Tartu, Annelinn, Kaunase pst 39",3,65.5 m²,92 000 €,Baastase
45,"Tartu, Tartu linn, Tähtvere, Supilinn, Tähtvere tn 16",1,23 m²,56 000 €,Baastase
46,"Tartu, Tartu linn, Vaksali, Tähtvere , A. Haava tn 26",4,119 m²,419 500 €,Baastase
47,"Tartu, Tartu linn, Annelinn, Anne tn 80",3,65.3 m²,97 900 €,Baastase
48,"Tartu, Tartu linn, Annelinn, Sõpruse pst 5",4,71.1 m²,125 000 €,Hea tase
49,"Tartu, Tartu linn, Karlova, Võru tn 108-3",3,46.7 m²,169 000 €,Hea tase
50,"Tartu, Tartu linn, Ülejõe, Uus 45-5",3,72 m²,329 500 €,Baastase
51,"Tartu, Jaamamõisa, Jaama 111a",4,118.2 m²,136 000 €,Baastase
52,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-16",2,50 m²,151 900 €,-
53,"Tartu, Tartu linn, Annelinn, Anne 47",1,27 m²,83 000 €,Hea tase
54,"Tartu, Tartu linn, Annelinn, Rõduga korter teisel korrusel, Kaunase pst 12",2,47.2 m²,85 000 €,Baastase
55,"Tartu, Tartu linn, Karlova, Võru 108-4",2,31.1 m²,139 000 €,Hea tase
56,"Tartu, Tartu linn, Annelinn, Kaunase pst 7",3,65.7 m²,109 000 €,Baastase
57,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-2 (Broneeritud)",3,70.4 m²,208 900 €,-
58,"Tartu, Tartu linn, Kesklinn, Rebase tn 25",2,54.1 m²,195 000 €,-
59,"Tartu, Tartu linn, Ränilinn, Aardla tn 132",2,48.1 m²,123 000 €,-
60,"Tartu, Tartu linn, Veeriku, L. Puusepa tn 24",2,51.5 m²,82 000 €,Baastase
61,"Tartu, Tartu linn, Annelinn, Anne tn 47",2,37.3 m²,85 000 €,Hea tase
62,"Tartu, Tartu linn, Supilinn, Herne 15",2,45.1 m²,96 000 €,Baastase
63,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25b",2,49.2 m²,104 000 €,Baastase
64,"Tartu, Tartu linn, Tähtvere, Tähtvere tn 16-9",1,24.9 m²,67 000 €,Baastase
65,"Tartu, Tartu linn, Ränilinn, Laseri tn 6a",1,34.4 m²,119 000 €,-
66,"Tartu, Tartu linn, Annelinn, Anne 77",3,63 m²,115 000 €,Baastase
67,"Tartu, Tartu linn, Vaksali, Vabriku 3",2,39.2 m²,159 000 €,Baastase
68,"Tartu, Tartu linn, Vaksali, Võru tn 53a",3,60.1 m²,125 000 €,Baastase
69,"Tartu, Tartu linn, Annelinn, Kalda tee 28-35",3,72.7 m²,112 000 €,Baastase
70,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 13 (Broneeritud)",1,33.6 m²,79 900 €,Baastase
71,"Tartu, Tartu linn, Ülejõe, Ranna tee 1a",2,47.4 m²,160 000 €,Baastase
72,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",3,44 m²,99 000 €,-
73,"Tartu, Tartu linn, Raadi-Kruusamäe, Puiestee tn 112a",2,35.9 m²,84 000 €,Baastase
74,"Tartu, Tartu linn, Ülejõe, Jaama tn 21",1,18.8 m²,49 900 €,Hea tase
75,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9",3,56 m²,100 000 €,Baastase
76,"Tartu, Supilinn, Herne 45a",2,48.6 m²,182 000 €,Baastase
77,"Tartu, Tartu linn, Ülejõe, Jaama tn 52-2",4,86.1 m²,289 900 €,Baastase
78,"Tartu, Tartu linn, Ülejõe, Jaama 27",1,41 m²,73 900 €,Hea tase
79,"Tartu, Tartu linn, Veeriku, Veeriku tn 8",2,49 m²,137 000 €,Baastase
80,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-9",3,64.3 m²,188 900 €,-
81,"Tartu, Tartu linn, Kesklinn, Vallikraavi tn 11-6",2,52.8 m²,199 000 €,Hea tase
82,"Tartu, Kesklinn, Jaama tn 52-3",3,86.3 m²,306 900 €,Baastase
83,"Tartu, Tartu linn, Karlova, Lootuse 25",2,38.6 m²,75 000 €,Hea tase
84,"Tartu, Annelinn, Jaama 193",3,64.4 m²,97 000 €,Baastase
85,"Tartu, Tartu linn, Annelinn, kaunase pst 18",2,48.8 m²,85 000 €,-
86,"Tartu, Tartu linn, Vaksali, Tiigi 61a-18",4,134.5 m²,590 000 €,Hea tase
87,"Tartu, Tartu linn, Annelinn, Kaunase pst 36",2,49.1 m²,75 500 €,Baastase
88,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 71/1",4,74.2 m²,195 000 €,Baastase
89,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 5",1,31.2 m²,65 000 €,Baastase
90,"Tartu, Tartu linn, Veeriku, Sangla tn 25-5",1,27.7 m²,95 000 €,Baastase
91,"Tartu, Tartu linn, Ropka, Ropka 15a",2,47 m²,100 000 €,Baastase
92,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi 64a-1",3,63 m²,173 900 €,-
93,"Tartu, Tartu linn, Veeriku, Ravila (Broneeritud)",1,33.6 m²,87 000 €,-
94,"Tartu, Tartu linn, Karlova, Turu tn 35",1,32.7 m²,68 900 €,-
95,"Tartu, Kesklinn, Jaama tn 52-2",4,86.1 m²,289 900 €,Baastase
96,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9-28",3,56 m²,100 000 €,Baastase
97,"Tartu, Tartu linn, Ülejõe, HEA HIND!, Põllu 6",2,45.3 m²,86 000 €,-
98,"Tartu, Tartu linn, Kesklinn, Tiigi 13 (Broneeritud)",2,36.8 m²,135 000 €,Hea tase
99,"Tartu, Tartu linn, Karlova, Turu tn 31",1,33.3 m²,75 900 €,Baastase
100,"Tartu, Tartu linn, Karlova, rebase 17 (Broneeritud)",1,17.2 m²,95 000 €,-
101,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli 4a-7",2,50.2 m²,145 900 €,-
102,"Tartu, Tartu linn, Ropka",3,62.6 m²,115 000 €,-
103,"Tartu, Tartu linn, Kesklinn, Küüni tn 5b",4,186.2 m²,426 000 €,Hea tase
104,"Tartu, Kesklinn, Savi tn 6a",4,71.8 m²,249 000 €,Baastase
105,"Tartu, Tartu linn, Annelinn, Pikk 100",3,65 m²,119 000 €,Hea tase
106,"Tartu, Tartu linn, Annelinn, Kalda tee 28-46",2,47.4 m²,95 000 €,Baastase
107,"Tartu, Tartu linn, Karlova, Salme 8",2,45.2 m²,95 000 €,Baastase
108,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 18-5",2,48.3 m²,154 900 €,-
109,"Tartu, Tartu linn, Ropka tööstusrajoon, Aardla tn 4-9",1,9.6 m²,41 000 €,Baastase
110,"Tartu, Tartu linn, Tammelinn, Riia tn 61",4,127 m²,480 000 €,-
111,"Tartu, Tartu linn, Veeriku, Tulbi tn 2c",4,111.5 m²,205 000 €,Baastase
112,"Tartu, Tartu linn, Ropka, Ropka tn 15a-15",3,62.4 m²,110 000 €,Baastase
113,"Tartu, Tartu linn, Kesklinn, Pikk tn 2-73 (Broneeritud)",1,29.7 m²,87 000 €,Hea tase
114,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",2,44 m²,99 000 €,-
115,"Tartu, Tartu linn, Variku, Pärnaõie tn 15  UUS HIND!",3,53.7 m²,153 000 €,-
