Index,Address,Room Count,Size,Price,Teenus_arv,Teenustase,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Toidukoht_arv,Parkimisnorm,Parkimis_koefitsent,MYRAKLASS,Longitude,Latitude,Distance
1,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 12-9",3,64.3,175900,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.7477789478951,58.346265205735016,4053.65993280633
2,"Tartu, Ülejõe, Staadioni 3",4,75.0,235000,37.0,Hea tase,58.68464216,2.0,3.0,8.0,21.0,41.0,0.41315358,50.0,26.726606000000007,58.388360000000006,954.4244478625026
3,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 12-1",2,50.8,160900,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.7477789478951,58.346265205735016,4053.65993280633
4,"Tartu, Ülejõe, Pikk 76",2,38.3,89000,33.0,Hea tase,58.53319224,2.0,1.0,13.0,29.0,41.0,0.41466808,60.0,26.740123500000003,58.379401,1047.5239514714826
5,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 10-2",4,83.0,209900,4.0,-,6.27022442,0.0,0.0,1.0,1.0,100.0,1.0,46.17695630081301,26.74416654245689,58.404849350000006,3039.7039475741617
6,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 10-7",3,70.0,194900,4.0,-,6.27022442,0.0,0.0,1.0,1.0,100.0,1.0,46.17695630081301,26.74416654245689,58.404849350000006,3039.7039475741617
7,"Tartu, Annelinn, Sõpruse pst 1",1,27.3,59900,24.0,Baastase,54.28425662,4.0,3.0,6.0,12.0,73.0,0.72857872,55.0,26.752260576601667,58.379737,1755.1720113991582
8,"Tartu, Vaksali, Kooli 18",2,40.9,119000,26.0,Baastase,55.69348701,3.0,4.0,2.0,12.0,72.0,0.72153256,46.17695630081301,26.707384647350207,58.3768359,943.6401485215529
9,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25b",2,47.6,95000,7.0,Baastase,55.8768075,1.0,2.0,2.0,4.0,72.0,0.72061596,45.0,26.725882168443498,58.347608,3625.227228877519
10,"Tartu, Karlova, Salme 12",2,46.9,106000,9.0,Baastase,60.73401302,2.0,2.0,6.0,13.0,70.0,0.69632993,45.0,26.733084013389263,58.3680605,1482.8157053017521
