ads_oid,ehr_gid,ehr_kood,ehr_url,etak_id,taisaadres,lahiaadres,kaos_kood,kaos_nimet,unik,MYRAKLASS
EE01120606,"120555121",120555121,https://livekluster.ehr.ee/ui/ehr/v1/building/120555121,5694378,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 22",Siili tn 22,"11101",Üksikelamu,Jah,"40"
EE01064369,"120316850",120316850,https://livekluster.ehr.ee/ui/ehr/v1/building/120316850,5691644,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 28",Siili tn 28,"11101",Üksikelamu,Jah,"40"
EE00774481,"104042517",104042517,https://livekluster.ehr.ee/ui/ehr/v1/building/104042517,728054,"Tartu maakond, Tartu linn, Tartu linn, Purde tn 7a",Purde tn 7a,"11101",Üksikelamu,Jah,"40"
EE01032330,"120303134",120303134,https://livekluster.ehr.ee/ui/ehr/v1/building/120303134,5691638,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 34",Siili tn 34,"11101",Üksikelamu,Jah,"40"
EE00774143,"104042159",104042159,https://livekluster.ehr.ee/ui/ehr/v1/building/104042159,723648,"Tartu maakond, Tartu linn, Tartu linn, Odra tn 2",Odra tn 2,"11101",Üksikelamu,Jah,"40"
EE01005790,"120291913",120291913,https://livekluster.ehr.ee/ui/ehr/v1/building/120291913,5691631,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 40",Siili tn 40,"11101",Üksikelamu,Jah,"40"
EE01005774,"120291904",120291904,https://livekluster.ehr.ee/ui/ehr/v1/building/120291904,5691633,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 38",Siili tn 38,"11101",Üksikelamu,Jah,"40"
EE01077100,"120535104",120535104,https://livekluster.ehr.ee/ui/ehr/v1/building/120535104,5691645,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 26",Siili tn 26,"11101",Üksikelamu,Jah,"40"
EE01005763,"120291896",120291896,https://livekluster.ehr.ee/ui/ehr/v1/building/120291896,5691635,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 36",Siili tn 36,"11101",Üksikelamu,Jah,"40"
EE01077759,"120535602",120535602,https://livekluster.ehr.ee/ui/ehr/v1/building/120535602,5691647,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 24",Siili tn 24,"11101",Üksikelamu,Jah,"40"
EE01005822,"120291923",120291923,https://livekluster.ehr.ee/ui/ehr/v1/building/120291923,5691625,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 44",Siili tn 44,"11101",Üksikelamu,Jah,"40"
EE00773586,"104041567",104041567,https://livekluster.ehr.ee/ui/ehr/v1/building/104041567,723175,"Tartu maakond, Tartu linn, Tartu linn, Odra tn 4",Odra tn 4,"11101",Üksikelamu,Jah,"40"
EE01081807,"120538416",120538416,https://livekluster.ehr.ee/ui/ehr/v1/building/120538416,5691643,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 30",Siili tn 30,"11101",Üksikelamu,Jah,"40"
EE01005756,"120291892",120291892,https://livekluster.ehr.ee/ui/ehr/v1/building/120291892,5691639,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 32",Siili tn 32,"11101",Üksikelamu,Jah,"40"
EE00748733,"104014632",104014632,https://livekluster.ehr.ee/ui/ehr/v1/building/104014632,727600,"Tartu maakond, Tartu linn, Tartu linn, Purde tn 9",Purde tn 9,"11101",Üksikelamu,Jah,"40"
EE03884019,"121338799",121338799,https://livekluster.ehr.ee/ui/ehr/v1/building/121338799,8517325,"Tartu maakond, Tartu linn, Tartu linn, Siili tn 20",Siili tn 20,"11101",Üksikelamu,Jah,"40"
EE00775253,"104043350",104043350,https://livekluster.ehr.ee/ui/ehr/v1/building/104043350,710812,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 12",Kuldnoka tn 12,"11101",Üksikelamu,Jah,"40"
EE00771450,"104039199",104039199,https://livekluster.ehr.ee/ui/ehr/v1/building/104039199,725435,"Tartu maakond, Tartu linn, Tartu linn, Ööbiku tn 6",Ööbiku tn 6,"11101",Üksikelamu,Jah,"40"
EE00756895,"104023312",104023312,https://livekluster.ehr.ee/ui/ehr/v1/building/104023312,729868,"Tartu maakond, Tartu linn, Tartu linn, Käo tn 2a",Käo tn 2a,"11101",Üksikelamu,Jah,"40"
EE00775581,"104043688",104043688,https://livekluster.ehr.ee/ui/ehr/v1/building/104043688,725521,"Tartu maakond, Tartu linn, Tartu linn, Käo tn 1b",Käo tn 1b,"11101",Üksikelamu,Jah,"40"
EE00774809,"104042878",104042878,https://livekluster.ehr.ee/ui/ehr/v1/building/104042878,5694125,"Tartu maakond, Tartu linn, Tartu linn, Kotka tn 9",Kotka tn 9,"11101",Üksikelamu,Jah,"40"
EE00774617,"104042679",104042679,https://livekluster.ehr.ee/ui/ehr/v1/building/104042679,724835,"Tartu maakond, Tartu linn, Tartu linn, Pääsukese tn 11",Pääsukese tn 11,"11101",Üksikelamu,Jah,"40"
EE00771867,"104039660",104039660,https://livekluster.ehr.ee/ui/ehr/v1/building/104039660,711472,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 15",Kuldnoka tn 15,"11101",Üksikelamu,Jah,"40"
EE00748577,"104014466",104014466,https://livekluster.ehr.ee/ui/ehr/v1/building/104014466,728463,"Tartu maakond, Tartu linn, Tartu linn, Pääsukese tn 20",Pääsukese tn 20,"11212",Kahe korteriga elamu,Jah,"40"
EE00771844,"104039637",104039637,https://livekluster.ehr.ee/ui/ehr/v1/building/104039637,720796,"Tartu maakond, Tartu linn, Tartu linn, Pääsukese tn 24",Pääsukese tn 24,"11101",Üksikelamu,Jah,"40"
EE00772316,"104040162",104040162,https://livekluster.ehr.ee/ui/ehr/v1/building/104040162,729226,"Tartu maakond, Tartu linn, Tartu linn, Ööbiku tn 7",Ööbiku tn 7,"11101",Üksikelamu,Jah,"40"
EE00751632,"104017752",104017752,https://livekluster.ehr.ee/ui/ehr/v1/building/104017752,716536,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 16",Kuldnoka tn 16,"11101",Üksikelamu,Jah,"40"
EE00751306,"104017402",104017402,https://livekluster.ehr.ee/ui/ehr/v1/building/104017402,723756,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 21",Kure tn 21,"11101",Üksikelamu,Jah,"40"
EE00775374,"104043474",104043474,https://livekluster.ehr.ee/ui/ehr/v1/building/104043474,724737,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 31",Kure tn 31,"11101",Üksikelamu,Jah,"40"
EE00751182,"104017277",104017277,https://livekluster.ehr.ee/ui/ehr/v1/building/104017277,725374,"Tartu maakond, Tartu linn, Tartu linn, Pääsukese tn 9",Pääsukese tn 9,"11101",Üksikelamu,Jah,"40"
EE00751216,"104017312",104017312,https://livekluster.ehr.ee/ui/ehr/v1/building/104017312,729743,"Tartu maakond, Tartu linn, Tartu linn, Pääsukese tn 13",Pääsukese tn 13,"11101",Üksikelamu,Jah,"40"
EE00751266,"104017362",104017362,https://livekluster.ehr.ee/ui/ehr/v1/building/104017362,710261,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 27",Kure tn 27,"11101",Üksikelamu,Jah,"40"
EE00774803,"104042871",104042871,https://livekluster.ehr.ee/ui/ehr/v1/building/104042871,709831,"Tartu maakond, Tartu linn, Tartu linn, Kotka tn 17",Kotka tn 17,"11101",Üksikelamu,Jah,"40"
EE00751643,"104017763",104017763,https://livekluster.ehr.ee/ui/ehr/v1/building/104017763,729063,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 11",Kuldnoka tn 11,"11101",Üksikelamu,Jah,"40"
EE00775276,"104043373",104043373,https://livekluster.ehr.ee/ui/ehr/v1/building/104043373,716535,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 6",Kuldnoka tn 6,"11101",Üksikelamu,Jah,"40"
EE00773770,"104041771",104041771,https://livekluster.ehr.ee/ui/ehr/v1/building/104041771,729769,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 29",Kure tn 29,"11101",Üksikelamu,Jah,"40"
EE00760696,"104027386",104027386,https://livekluster.ehr.ee/ui/ehr/v1/building/104027386,710253,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 13",Kuldnoka tn 13,"11101",Üksikelamu,Jah,"40"
EE00774614,"104042676",104042676,https://livekluster.ehr.ee/ui/ehr/v1/building/104042676,724504,"Tartu maakond, Tartu linn, Tartu linn, Pääsukese tn 1",Pääsukese tn 1,"11101",Üksikelamu,Jah,"40"
EE00751237,"104017333",104017333,https://livekluster.ehr.ee/ui/ehr/v1/building/104017333,723892,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 26",Kure tn 26,"11101",Üksikelamu,Jah,"40"
EE00751050,"104017135",104017135,https://livekluster.ehr.ee/ui/ehr/v1/building/104017135,727175,"Tartu maakond, Tartu linn, Tartu linn, Ööbiku tn 24a",Ööbiku tn 24a,"11101",Üksikelamu,Jah,"40"
EE00775384,"104043484",104043484,https://livekluster.ehr.ee/ui/ehr/v1/building/104043484,721419,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 17",Kure tn 17,"11101",Üksikelamu,Jah,"40"
EE00751641,"104017761",104017761,https://livekluster.ehr.ee/ui/ehr/v1/building/104017761,710016,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 18",Kuldnoka tn 18,"11101",Üksikelamu,Jah,"40"
EE00774848,"104042917",104042917,https://livekluster.ehr.ee/ui/ehr/v1/building/104042917,711466,"Tartu maakond, Tartu linn, Tartu linn, Kotka tn 3",Kotka tn 3,"11101",Üksikelamu,Jah,"40"
EE00751352,"104017451",104017451,https://livekluster.ehr.ee/ui/ehr/v1/building/104017451,727770,"Tartu maakond, Tartu linn, Tartu linn, Kure tn 20",Kure tn 20,"11101",Üksikelamu,Jah,"40"
EE00775557,"104043663",104043663,https://livekluster.ehr.ee/ui/ehr/v1/building/104043663,724757,"Tartu maakond, Tartu linn, Tartu linn, Käo põik 10",Käo põik 10,"11101",Üksikelamu,Jah,"40"
